gid;geom;OBJECTID;CIV_1;PK_ID;Fecha_Fina;Estrategia;Programa;Zonas;Nombre_Loc;UPZ;Barrio;Mes_Report;Grupo_Cont;Ingeniero_;Director_d;TOTAL_ARE;No__HUECOS
1;0106000020E61000000100000001030000000100000017000000F4BD1EFDA38252C0C095EE8DA5E212404C4658FEA38252C080352981A4E21240D8DFED02A48252C04058F395A0E212408820EC19A48252C041D1E9EB8CE21240605BA82AA48252C0C00431C18AE21240A07D7637A48252C000BA45DA72E212408402113DA48252C0805521DE6DE2124018B27249A48252C080E457D962E212406C58884BA48252C0006E2E3661E212406037A14DA48252C080309C915FE21240205DA34DA48252C04055CC8F5FE21240BC70638AA48252C040A3107024E21240F4AAE197A48252C00089D3DC19E21240BC9849AEA48252C000A55D9107E21240EC7D38B5A48252C000A7569707E21240702D76D5A58252C00008198E08E21240E0F1E7EDA58252C0802609A308E21240F08D1D91A58252C04011A5B34FE21240109D5333A58252C040D0FCB89DE21240FC27AF30A58252C040AA88F19FE2124045086E28A58252C08077B6CBA7E2124064AE6E1DA58252C000FDA3B6A7E21240F4BD1EFDA38252C0C095EE8DA5E21240;1;1003788;525050;Tue Feb 04 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;IMV-PR-003;Zona 01;USAQUEN;LOS CEDROS;CEDRITOS;Febrero;Parcheo;XIMENA VARGAS;ING.MARY LUZ MORA/ ING. ANGEL RICARDO IBAGON;15.51;16
2;0106000020E61000000100000001030000000100000022000000743497E6198652C00076A6385DB01240DD9777D4198652C00DEFBB4F5DB0124014E35BC2198652C0B2F8C3355DB0124010E8C7B0198652C03F9D7BEB5CB01240BF9C3BA0198652C0A99BFF725CB012408B772F91198652C01A07BDCF5BB012406C021184198652C0405658065BB01240545E6294168652C080BDFBB83DB0124004C36788168652C0806476413DB0124014AE4283168652C0F8CCAEFD3CB0124078A6937D168652C0F09F00C63CB0124028EB7677168652C08093809B3CB01240DC62F77D158652C0C0B8C51832B01240B07FD8B1158652C080D69CA72DB012408807D86A168652C04024E5D01DB0124074AF9AB4178652C0C0CE04792CB01240E0C9ADCA178652C041B2BE6A2DB01240F07056D2178652C0402D7CA82DB012401C05FED9178652C0C04B17E62DB01240C0C2F0E1178652C04001111F2EB01240E07032E6188652C00095BC4439B012408C0C8343198652C0C160DA863DB012404C5263B91A8652C0000AB41D4EB012402C8346BD1B8652C0403EF59159B01240554507101D8652C080BBAFDC68B012407401C2961D8652C04073C3C16EB01240545595A11D8652C04007D93D6FB01240887DA96F1E8652C040F1047978B012400C6CF5D21D8652C0407A3E1C87B012403C00323F1A8652C0C0B487885EB012406E80712A1A8652C0D0E32BE75DB01240300F71141A8652C0126701785DB012405252A9FD198652C026D4693D5DB01240743497E6198652C00076A6385DB01240;2;10009414;511242;Wed Jun 24 00:00:00 COT 2020;Infraestructura y Gestion de Transito;Ciclocarriles;Zona 02;ENGATIVA;LAS FERIAS;BOSQUE POPULAR;Junio;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING. MARY LUZ MORA / ING. ALEXANDER SANDOVAL;165.93;166
3;0106000020E61000000100000001030000000100000005000000387E0AA8B98752C080224387F3181240E4D1B0BFBC8752C040FED02FBE18124008FAD84BBD8752C040CAAF5EC61812405CA63234BA8752C0401C33B6FB181240387E0AA8B98752C080224387F3181240;3;5000867;291866;Mon Jan 20 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 04;USME;GRAN YOMASA;NUEVO SAN ANDRES;Enero;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING.CARLOS CASTAÑO/ING. ALEXANDER SANDOVAL;60;3
4;0106000020E61000000100000001030000000100000023000000BC519077658952C0807E5B821C641240BD82BB74658952C0159001A01A64124088C2426E658952C04028BAC6186412408C5E2E5E638952C04083A877C863124024E4041F638952C0402D38D7BE631240303D15FB618952C000CACD6892631240BCDF7239618952C0C0961DFE74631240DC23A064608952C00075CBA1546312405817DCE15F8952C0C06042B640631240086EE5D15F8952C0001290483E631240A8B6A29A608952C0C0B940F6386312402882A7AC608952C0C038FFB13B6312407042FF3C618952C08014508A516312406444C428638952C080D537429C631240C4684D8E638952C00097BAB2AB631240B8FC12E7648952C000D034CBDF631240D8404D3C668952C080B669551364124068E15542668952C02C2DA4A71464124065B7CA4A668952C0871150EC15641240B8408E55668952C08076001F17641240D4359B67668952C0D7428F9B18641240B71A367D668952C0073751E519641240E704D295668952C0DE86DFF31A6412401672CEB0668952C0AF8855C01B641240075F7BCD668952C01BAB7D451C64124094C31DEB668952C0146FF37F1C6412408C56F408678952C08088396E1C64124068A0E200668952C000A94B4F236412408066F312658952C0C0AA1582296412406AEA1A31658952C0EEAA66DD276412400497A54A658952C0B82CB6F0256412404AC4E95E658952C0CCCACCC823641240ADD4606D658952C06E7FFC732164124035B3AA75658952C0D885C1011F641240BC519077658952C0807E5B821C641240;4;8011565;148982;Mon Feb 24 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;CARVAJAL;LAS DELICIAS;Febrero;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING.MARY LUZ MORA / ING. JESUS FORERO;185.61;120
5;0106000020E61000000100000001030000000100000029000000747FFC72348552C0802D5C0F8C59124064F23D8B348552C080B1314287591240B81F13D0348552C0C0BB1D5B7B59124010DDA1CB358552C0001D5FB0585912402CB3DC8D368552C0002CB5CF44591240F02AF88E368552C08121D8B14459124000B6FFD8368552C08003B7B63C591240C0163EFF368552C080A42F9B38591240300D1E01378552C000AB18653859124034CC6A96388552C040E1FDD70A59124024C7DA353A8552C0C0CF7072DB581240341E53143B8552C000832CCCC1581240D845D04C3B8552C08105FD48BB581240C4F31D583B8552C00566F0C7B958124087A57D5F3B8552C0A417382FB8581240D846C0623B8552C09AA40589B6581240DE06D1613B8552C02AA3E0DFB458124023DDB55C3B8552C0297B633EB358124072638F533B8552C074B3F7AEB1581240B90598463B8552C06C77933BB0581240008D22363B8552C000FD79EDAE5812409475B8833C8552C0C12F108DB9581240E4950C7C3C8552C0C00BDFC0B958124096BD0B703C8552C086D1732EBA58124092FB2F653C8552C06B403BB7BA5812403B72B65B3C8552C03A433358BB581240A579D4533C8552C0C093D10DBC5812405800FE4F3C8552C04048257CBC581240F0EF332E3C8552C040730247C0581240E0A634D23A8552C0C065C456E7581240A49953A1388552C0402888FE2C591240C534A384388552C0C0B41D5830591240A87BDB81378552C0C0FC39CD4E591240F4B6E598368552C040FF7EFE695912407C0E3F32368552C09CE2A152725912405D8631DB358552C091A291517B5912401480D694358552C080773ADE845912409DC8B48F358552C0097B1B0A8659124000936C8C358552C0C0958E3C875912406CCB9950358552C0401524A991591240747FFC72348552C0802D5C0F8C591240;5;50005948;91010575;Tue Jun 09 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Ciclocarriles;Zona 03;SANTA FE;LAS CRUCES;LAS CRUCES;Junio;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING. ANGEL RICARDO IBAGON;281.5;282
6;0106000020E6100000010000000103000000010000000600000038004A92B38752C0804CBBA5900E1240D87EABD5B48752C08067F86D8D0E1240E08A4786B58752C040145B41D30E1240CC198E3DB48752C0C07CBD86D60E12406089D6A3B38752C041B7D595970E124038004A92B38752C0804CBBA5900E1240;6;50005081;91015915;Mon Jan 20 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 04;USME;GRAN YOMASA;SAN JUAN BAUTISTA;Enero;Cambio de Carpeta;CAMILO ROJAS;ING.MANUEL AVILA / ING. SAMUEL SANCHEZ;296.74;0
7;0106000020E6100000010000000103000000010000000500000039047A20B38752C0C0C07EA6630E1240CC54CA63B48752C040B1F467600E1240D87EABD5B48752C08067F86D8D0E124038004A92B38752C0804CBBA5900E124039047A20B38752C0C0C07EA6630E1240;7;50005080;91015916;Mon Jan 20 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 04;USME;GRAN YOMASA;SAN JUAN BAUTISTA;Enero;Cambio de Carpeta;CAMILO ROJAS;ING.MANUEL AVILA / ING. SAMUEL SANCHEZ;166.17;0
8;0106000020E6100000010000000103000000010000003F000000FC6B37C9088252C000E36F092DFC1240286203E2088252C080045180F3FB12401950EB0D098252C0C058C61E8BFB1240E87B0550098252C0806B4250F1FA124098F45E7F098252C080E46DDF82FA1240806A5692098252C0C08146C053FA124098EDF698098252C04062F74843FA1240A4E191010B8252C080AA0AE243FA124054BD8AF90A8252C040BED67054FA124024E2E4E60A8252C000D90EE87AFA124044CFE3E60A8252C00067E0EA7AFA1240A496E0E60A8252C040372AEE7AFA1240A496E0E60A8252C0C08283F07AFA1240005EDDE60A8252C080F167F47AFA1240BCE6AAE60A8252C0C003835F7BFA1240882CC2E20A8252C0007940B886FA1240047C4EDF0A8252C040DFCE2D90FA12406423CBDA0A8252C080004BDC9AFA1240FCAFCBD40A8252C040BCDB94A9FA1240013AAAD20A8252C08057A0D1AEFA1240F83D32CF0A8252C0407E5255B7FA1240706B9AC30A8252C000FC59CED3FA1240B8B0C8BE0A8252C0003DBB5BDDFA124040D0F4B90A8252C0C0D93EE9E6FA1240BC052DB20A8252C080493CEAF9FA124034BF82B00A8252C0C01D3CFCFDFA1240383B65AA0A8252C080E74AEB0CFB1240A0161FA60A8252C000A3676E16FB12400CF2D8A10A8252C0C05E84F11FFB12401075B99D0A8252C040D7806129FB124014F899990A8252C0C0216CD132FB12408CA4C5950A8252C00046D64F3CFB12400451F1910A8252C0809851CE45FB1240002FCD890A8252C080A598DC58FB1240FC0CA9810A8252C080B2DFEA6BFB12402C0F377F0A8252C000B7F4E471FB124049EF0B7D0A8252C080885A3077FB124028A9F5790A8252C0C04FEFB97EFB124050B0DD750A8252C0804C334A88FB12405CCAC6710A8252C0404977DA91FB1240A4BEAD6D0A8252C080A527649BFB1240CCC595690A8252C00002D8EDA4FB124004F562650A8252C040433C3DAFFB1240A8A8765D0A8252C0007EEB6AC2FB1240311ABC590A8252C040492549CBFB124004F8AD570A8252C0401ED1FDCFFB1240F8C29E550A8252C040F37CB2D4FB1240B4446E530A8252C04035686ED9FB12406CC63D510A8252C00077532ADEFB124058F9534D0A8252C000F0A3A3E7FB1240402C6A490A8252C0C03AE31CF1FB124034FD86470A8252C0001288D7F5FB124024CEA3450A8252C000173E92FAFB12402CF5B6430A8252C000514468FFFB1240381CCA410A8252C040E76C3E04FC12401427FB3D0A8252C080029F9B0DFC1240D1442D3A0A8252C0004CE2F816FC1240CCA7F8390A8252C0C03DBF7117FC1240699968370A8252C00129D1041DFC12407C9D45360A8252C08053A77D1FFC12409CDB8B350A8252C040D0BD7A21FC1240C48A2E300A8252C0C05C32A52DFC1240FC6B37C9088252C000E36F092DFC1240;8;1001502;91010967;Tue Jun 02 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;Ciclocarriles;Zona 01;USAQUEN;TOBERIN;LA PRADERA NORTE;Junio;Parcheo;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;61.76;62
9;0106000020E6100000010000000103000000010000001D00000078E2DEA16D8252C0000F1A69C5DB12401CF1050F6E8252C0C02EE4AEB1DB1240EC72AEB46E8252C0406A8A77B5DB124034DE5D34728252C000C4D9ECC9DB12405CD77B66738252C041A0D260D1DB1240F44B5608758252C0C0E91376DADB12405CD30E757B8252C000D5280DFDDB124034B6692F8C8252C080788C3C5ADC12402CC44801928252C0C0B098807BDC12406801252E958252C0C0043EEB8CDC1240C16858B79A8252C08013CB81ACDC12406C72FAA59E8252C040E692F1C2DC1240602385BCA28252C040C5E253DADC124008AE7C40A78252C080FDC5D1F4DC124068861F5FAC8252C08082C27013DD12404C166B76AC8252C0001195ED13DD12409C7642F9AC8252C0C028ABAA16DD124018394D97AC8252C000ADAFF227DD1240FCAC2F9BAB8252C000AE8CB022DD12408C813F73AB8252C00048DBC321DD1240E81CDBE9A98252C0402AB2A818DD12405545F52CA18252C080B85454E6DC1240E12DE5E98D8252C0001C2AF179DC1240D86781B58B8252C08041B8956DDC1240F8FCF5DF8A8252C0C01BC4E868DC1240741EC1FF898252C0C0E0150064DC1240D83846D86E8252C040468678CBDB1240B41F44C06E8252C0C0AD8038CBDB124078E2DEA16D8252C0000F1A69C5DB1240;9;1008108;91030483;Wed Jun 17 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;IMV-PR-003;Zona 01;USAQUEN;LOS CEDROS;LISBOA;Junio;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING. ANGEL RICARDO IBAGON;77.84;78
10;0106000020E6100000010000000103000000010000005300000090BBC37ED38352C0C014D4C7AEF21240F072E7A8D48352C0C07E3B9DECF1124030C37FACD48352C0310B331CE9F112401022F9A7D48352C091EA3E9CE5F11240B1C56B9BD48352C0DB0C1830E2F1124012D41A87D48352C0D6730DEADEF11240D8FB726BD48352C0C041A2DBDBF11240CDFEA154D48352C05B9AE6EDD9F11240D0FADF3AD48352C000E8B626D8F1124028F79516D48352C000258A26D6F1124050602BE5D38352C03AE7A11CD4F11240BDF157AFD38352C08FF3DC91D2F11240C03F6076D38352C0C0D0878FD1F11240785FBA1BD48352C000AD5BCDD2F11240E413284BD58352C04075CD14D5F1124038C13B4FD58352C0C080A71CD5F112409CF4D78ED68352C0C0BE3C83D7F1124080BE7A30D78352C0409E5ABAD8F1124082E728FFD68352C0EEC51625D9F11240DB1597CFD68352C0A5432F0FDAF1124098DD0BA3D68352C005F65C72DBF11240EB0CB97AD68352C06D771945DDF11240C478B357D68352C04082E07ADFF1124030735935D68352C0E6BDDCF4E1F112409FFF3E19D68352C00F9244B9E4F1124073D90204D68352C076CF76B8E7F11240E3F01CF6D58352C0CA3786E1EAF112408CC5DBEFD58352C080189922EEF11240A0FFD9E7D58352C000E9565BF3F1124014EB9DCFD58352C080B4642803F2124020DCF9B8D58352C00094D4EB11F21240543CCD80D58352C001A4CF8B36F2124084B9D55AD58352C000F8A14C4FF212402CC0D455D58352C0C0E6998F52F2124078EF9F09D58352C00077384084F2124094DE6D1BD58352C0375C8C9585F21240498FF72FD58352C04D4B01C186F212400C7EDB46D58352C0C07109BD87F21240E492178AD58352C080A7033388F2124014C66C82D58352C040AAC4778DF21240347FC379D58352C04099CEEE93F21240E039D44FD58352C0807F777E93F21240D461A642D58352C0CD87D45893F212403A5F4335D58352C06EADCD5693F212409CBC0A28D58352C06E67717893F2124016D65A1BD58352C0FF9FCFBC93F21240E5378E0FD58352C0F365002294F212402718F904D58352C0298731A594F21240DAFDE6FBD48352C0E3B2BA4295F21240D1A598F4D48352C0389437F695F21240AE3442EFD48352C06E2AA7BA96F21240B8C209ECD48352C0807F8F8A97F212408876DBA6D48352C0805483A5C4F2124064410C9AD48352C040128ABCCBF21240441C99E4D38352C0C02D892830F312408CB7A68AD38352C000140AF061F3124064414444D38352C000669E019AF31240D4AC083ED38352C000D7EDF89EF312401D1123E9D28352C0C0578DA9E4F31240F494C0D9D28352C04000524AF1F31240C84925C5D28352C0801852BAFEF3124074FC6597D28352C0809CF78D1CF412403A3A8A9DD28352C0D5930E8F1FF412402E355DABD28352C03E0A2E7622F41240FB0182C0D28352C0F614D32F25F4124060826ADCD28352C00378ACA927F4124070205BFED28352C000C515D329F41240001C7FF8D28352C08048CBA42DF4124064801ADDD28352C0807D30813FF4124050B9EBCDD18352C0802FD7263EF41240D85256BFD18352C0802E2F143EF4124020FBDEAED08352C0806128B83CF412403C7C06C5D08352C040CF073B2DF41240F79B8CECD08352C00965EB322BF41240F2BA350ED18352C0137C2ECA28F41240ABB81829D18352C0717C801126F41240E45E7B3CD18352C06977BA1B23F41240446BD747D18352C0009E5CFD1FF41240808A3552D28352C0402B645353F312405CCF3A57D28352C0801ED00450F3124064A59C71D28352C00083C3A33EF31240E0C4C990D28352C08061631A2AF3124090BBC37ED38352C0C014D4C7AEF21240;10;30001411;903220;Sat Jan 18 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;IMV-PR-003;Zona 01;SUBA;EL PRADO;MAZUREN;Enero;Parcheo;XIMENA VARGAS;ING.CARLOS CASTAÑO/ ING. ANGEL RICARDO IBAGON;1,583.65;1,38
11;0106000020E6100000010000000103000000010000004D0000005C717A0F1E8952C08075FB5179BE12401C96AA0D1E8952C0009AD5FE78BE1240207A609A1E8952C080F9221182BE1240F4A6E2F91E8952C000BE633988BE124064BE7EE61E8952C0C00185C688BE12405C1699D41E8952C000DD038189BE1240FCA85AC61E8952C0C0E2A0618ABE1240BC5C845C1B8952C0C040FF3AC0BE12408CA2ADCE1A8952C0C0A19BF8C8BE124090F1CC241A8952C040128F4FBEBE1240506DF3A31A8952C080659F67B6BE1240B0F7D0A81A8952C000B34647B6BE124004341DA91A8952C080F12045B6BE1240995E8FAD1A8952C0805EB523B6BE12401096D6B11A8952C0C0AD0100B6BE1240F44B38B21A8952C080AFA6FCB5BE1240382E06B61A8952C0006F7CD9B5BE1240508A28B61A8952C000D624D8B5BE12400C84BDB91A8952C0003F1BB4B5BE1240C0243BBA1A8952C08065F0AEB5BE12408CE915BE1A8952C0005C6484B5BE12409C2B4FC21A8952C0C07A5251B5BE124085728DC21A8952C081343C4EB5BE1240F0D862C61A8952C000532A1BB5BE1240208B7BC61A8952C040BAD219B5BE1240C4CB4ECA1A8952C0809D30E2B4BE12405DDC6CCA1A8952C040C260E0B4BE124060DE10CE1A8952C0402C54A6B4BE124015DC2DCE1A8952C0C02273A4B4BE1240F84D72D11A8952C080F7AC6BB4BE1240AC51BBD11A8952C0004C9366B4BE1240B8DE0FD51A8952C000F60527B4BE124074AE2DDE1D8952C00063254984BE124004EB23E31D8952C080C8260384BE124010D6E9E71D8952C0C08BEFB983BE1240818280EC1D8952C00009A26D83BE1240ACB7E4F01D8952C000CA711E83BE1240F03C13F51D8952C040FD6FCC82BE124034250DF91D8952C080FEBE7782BE1240EC24CEFC1D8952C04058922082BE1240203C56001E8952C00138FBC681BE12400845A3031E8952C040FA1B6B81BE1240E819B3061E8952C04057390D81BE12409CCD86091E8952C000AB75AD80BE124088271B0C1E8952C040F5D04B80BE1240C4146F0E1E8952C080EE8FE87FBE1240549582101E8952C0C04EF7837FBE1240589654121E8952C00016071E7FBE12400CF2E2131E8952C0C0FC03B77EBE124034194B141E8952C0C00BD1987EBE124070AE59151E8952C0C0475C3F7EBE1240E03A70151E8952C041843D377EBE124028F237161E8952C080135EE57DBE12406C633E161E8952C040FB58E27DBE124018DCD6161E8952C080BC28937DBE1240240AE8161E8952C0C06A38887DBE1240D4135D171E8952C08087D62F7DBE1240E4DEA2171E8952C08044B4D47CBE1240682AA7171E8952C0C12473CC7CBE1240B432B6171E8952C080B9D6797CBE1240B432B6171E8952C040A1D1767CBE1240C05A9B171E8952C0404E3A277CBE12407CE994171E8952C080CE381C7CBE1240C44E43171E8952C04019E8C37BBE1240C83CBF161E8952C0808E0A697BBE12407C34B0161E8952C0C06EC9607BBE1240A8A007161E8952C0C0CFD80E7BBE1240841C00161E8952C0C0E5E40B7BBE1240783F36151E8952C0807360BD7ABE1240200916151E8952C0C04F81B27ABE1240602803141E8952C0C047EF5B7ABE12405C39B5121E8952C0402215037ABE124024F093121E8952C0C0BA18FB79BE1240D0F836111E8952C0803970AB79BE1240680329111E8952C0807D8DA879BE12400447B20F1E8952C0C084735C79BE12405C717A0F1E8952C08075FB5179BE1240;11;9004885;91014486;Mon Aug 24 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Conservacion;Zona 03;FONTIBON;FONTIBON;VERSALLES FONTIBON;Agosto;Sello de Fisuras;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING.JESUS FORERO;0;0
12;0106000020E610000001000000010300000001000000120000004C80DDC0EF8452C0010E15E3FCBD1240A03BEDC8EF8452C0005CBF84FDBD1240DC04A4D2EF8452C000B3A147FEBD1240240996DEEF8452C000A72437FFBD12402C3FE2EAEF8452C000DAD52D00BE124004594CF5EF8452C0C09AADFE00BE124018FC6C00F08452C040ABD0DD01BE124024C2C30AF08452C000772EAD02BE124010FA5E18F08452C040D00BBE03BE1240FCE95550F08452C0404E822008BE1240E4578764E78452C040FA49C47ABE1240545FEBBFDF8452C080C5B06AE0BE1240B406B902DF8452C000101A36D4BE1240E4B84358E78452C08024F7FF67BE12401CB88DB0EF8452C0405FFE9BFBBD1240BCC5F5B5EF8452C040DC5F08FCBD1240FC6800BBEF8452C080EC816DFCBD12404C80DDC0EF8452C0010E15E3FCBD1240;12;50008508;523198;Mon Mar 09 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;Plan Cien Dias;Zona 01;SUBA;LA FLORESTA;JULIO FLOREZ;Marzo;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING.MARY LUZ MORA/ ING. ANGEL RICARDO IBAGON;38.2;38
13;0106000020E610000001000000010300000001000000060000006C197C09F18852C0009BD65C24551240DC34F73CF18852C0C0D55F0F23551240206EC27BF68852C0006ACAFFF8551240549F349FF68852C080D0EB91FE55124040A5745DF68852C040F9C22C005612406C197C09F18852C0009BD65C24551240;13;6000857;34012916;Mon Feb 10 00:00:00 COT 2020;Mantenimiento Ciclorutas;Ciclo - Infraestructura;Zona 04;TUNJUELITO;VENECIA;SAN VICENTE FERRER;Febrero;Mantenimiento Rutinario;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;0;0
14;0106000020E61000000100000001030000000100000013000000C85D7447198752C0407EE54BEC9B1240903601F81A8752C0405EDDC0039C12404C9080ED1A8752C0C02F766F039C124084864BE21A8752C0000CEC3B039C1240FCB3B3D61A8752C000E8B827039C1240CC1110CB1A8752C040908833039C1240D0BEB9BF1A8752C040C2E25E039C1240E44201B51A8752C0406FA3A8039C12409C4B39AB1A8752C000A8930E049C1240ACDCAAA21A8752C00154AE8D049C1240E44F959B1A8752C040EB6422059C1240D993554B198752C0C0A8D9A8F39B1240984B7155198752C000120C82EF9B124034A87C56198752C000DB15F0EE9B1240389C2456198752C0401F2F5DEE9B1240A4276954198752C00039D5CCED9B124040075551198752C040557442ED9B1240FC7BFA4C198752C080B922C1EC9B1240C85D7447198752C0407EE54BEC9B1240;14;9003868;2057026;Tue Mar 17 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 03;FONTIBON;CIUDAD SALITRE OCCIDENTAL;SALITRE OCCIDENTAL;Marzo;Cambio de Carpeta;ANDRES FELIPE ALDANA CHARRY;ING. CARLOS MENDEZ / ING. EDGAR QUIJANO;27.5;0
15;0106000020E6100000010000000103000000010000000E00000058FDC7F8A68852C0C05166F5A14E12406052ED1AA78852C001C7FE17A74E1240DC7288C7A48852C08020DA57B64E1240400CDB199D8852C040895462E84E12401C1FF5239A8852C000D912A3FB4E124000B49982968852C040A45156134F1240ECD0128C8C8852C040B83E44544F1240CCE8D76E8C8852C000C106C04F4F12409C5F0DB08C8852C04074FC104E4F1240A04A3EBD8C8852C0401199AD4D4F1240B48983198D8852C080B808544B4F1240EC706E25918852C000C88BFE304F1240DC779781A68852C080E7DA08A54E124058FDC7F8A68852C0C05166F5A14E1240;15;6001222;34012907;Wed Feb 26 00:00:00 COT 2020;Mantenimiento Ciclorutas;Ciclo - Infraestructura;Zona 04;TUNJUELITO;VENECIA;TUNAL ORIENTAL;Febrero;Mantenimiento Rutinario;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;0;0
16;0106000020E6100000010000000103000000010000000B0000001C3E908CFA8852C0002D9C6C4F5912404CD054BFFA8852C080158F494E59124050C5CEC0FA8852C04013988B4E591240A80FCD37008952C080B55D3B2D5A1240B457323C008952C0806BADC52D5A12401816F6F6FF8852C0802841752F5A1240901297F0FF8852C0004587832E5A1240F00B0D96FA8852C080091D1B51591240C6076894FA8852C08359CD8350591240D5DD3691FA8852C08EE8F5F24F5912401C3E908CFA8852C0002D9C6C4F591240;16;6000569;34012769;Mon Feb 17 00:00:00 COT 2020;Mantenimiento Ciclorutas;Ciclo - Infraestructura;Zona 04;TUNJUELITO;VENECIA;FATIMA;Febrero;Mantenimiento Rutinario;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;0;0
17;0106000020E6100000010000000103000000010000001500000020FDE492A48852C0406E4EB3AD69124020F90495A48852C06045E629AD691240601FA295A48852C0A2A5B09CAC69124030BDB794A48852C08941E60FAC69124055D44C92A48852C0EC96BC87AB6912406CE5738EA48852C0C0B84508AB69124080B96104A28852C0802881DC64691240406819B6A18852C0401340695C691240305EACD5A28852C0402AB5EE51691240D881121DA48852C0806C0ABA76691240C4B10F61A58852C080543C639C69124068DFB899A58852C000B969F9A269124046622DA0A58852C0F2A1D087A3691240534BD5A7A58852C0DF331206A469124024B788B0A58852C09D9E9C71A469124086501ABAA58852C0A1943FC8A4691240B43C58C4A58852C040B23708A56912403410C3F5A58852C040FE5A91AA6912409C2AA4D1A48852C0404653D3B4691240888D19ABA48852C000E62473B069124020FDE492A48852C0406E4EB3AD691240;17;8011182;147866;Thu Sep 10 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;CARVAJAL;ALQUERIA LA FRAGUA NORTE;Septiembre;Cambio de Carpeta;KARINA ALEXANDRA CARDONA NAVARRO;ING. CARLOS MENDEZ / ING. ELENA ALVARADO;366.79;0
18;0106000020E6100000010000000103000000010000000D0000007C13549E0A8A52C000575336057212405C9C2B5C0C8A52C040F46004ED71124060B66CC60C8A52C0C0E763D9F471124090123C370D8A52C040E5482AFD711240509DAD3A0D8A52C040023F6BFD711240441E553B0D8A52C0C0EC8677FD71124060B6EF470D8A52C0C08F6D65FE7112400CAC87880B8A52C0008424741672124028069B7C0B8A52C04050769315721240C0ACEF7A0B8A52C080F4FC73157212404888FE780B8A52C040BF584F15721240387173090B8A52C0405829190D7212407C13549E0A8A52C00057533605721240;18;8009138;149816;Mon Feb 03 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Conservacion;Zona 05;KENNEDY;TIMIZA;TIMIZA B;Febrero;Sello de Fisuras;XIMENA VARGAS;ING.MARY LUZ MORA / ING. JESUS FORERO;0;0
